epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,4.56696,5.92385,25.38078,3.11228,6.50000,31.50000
002,3.02030,10.73346,39.35706,3.02171,10.58333,39.00000
003,2.87129,14.76904,47.56242,2.81295,15.83333,53.00000
004,2.77414,17.24719,52.61548,2.72268,18.33333,56.00000
005,2.71290,19.65044,55.39638,2.82468,17.91667,54.58334
006,2.66475,21.19226,56.87890,2.64109,24.00000,58.91667
007,2.60206,23.23970,59.97191,2.75932,18.50000,53.00000
008,2.55796,24.74407,61.17041,2.65485,22.33333,59.83334
009,2.50234,26.25156,63.18665,2.54420,23.58333,62.08334
010,2.47383,26.98502,64.56305,2.56507,24.33333,62.33334
011,2.44474,28.15855,65.29339,2.40033,28.75000,65.41667
012,2.40444,29.07303,66.47316,2.59150,25.58333,63.25000
013,2.37348,30.07179,67.18790,2.40061,28.08333,67.00000
014,2.34623,30.82085,67.89951,2.83875,25.83333,60.00000
015,2.31269,31.89451,68.78902,2.33013,31.50000,68.58334
016,2.30057,31.91636,69.13234,2.44656,28.58333,63.83334
017,2.27089,33.22722,69.72847,2.26826,34.33334,71.00000
018,2.25849,33.45818,70.37766,2.22485,34.08334,74.91667
019,2.23543,34.26966,71.02685,2.16462,36.16667,73.41667
020,2.20366,35.25593,71.69788,2.27101,33.25000,71.08334
021,2.18394,35.89264,71.96941,2.18366,35.66667,71.25000
022,2.16094,36.44195,72.31586,2.22458,36.58334,71.16667
023,2.14974,37.04120,73.01810,2.10720,38.33334,74.00000
024,2.13269,37.30337,73.18665,2.15296,37.83334,73.75000
025,2.11227,38.01186,73.94820,2.08926,40.58334,75.58334
026,2.09641,38.73284,74.05119,2.11950,38.00000,75.50000
027,2.06277,39.40387,74.88140,2.12657,37.91667,74.08334
028,2.07420,39.78777,74.80962,2.10058,40.41667,75.83334
029,2.03146,40.51186,75.78964,1.99094,42.83334,77.75000
030,2.01025,41.39201,75.98627,2.16992,40.00000,73.41667
031,2.00293,41.23596,76.39825,1.93710,43.41667,77.91667
032,1.97867,42.15044,76.86018,2.08080,41.16667,75.08334
033,1.97898,42.23471,76.86018,1.98845,42.41667,78.00000
034,1.95797,42.64669,77.41261,1.88544,45.25000,79.91667
035,1.92808,43.65481,78.02747,1.87306,46.83334,79.08334
036,1.92304,43.84208,78.33646,1.94011,44.91667,76.75000
037,1.90314,44.12297,78.38328,1.92835,44.58334,77.33334
038,1.89062,44.75968,78.75780,1.91786,45.83334,78.66667
039,1.87818,44.70038,79.21037,1.88461,45.33334,79.16667
040,1.86104,45.40887,79.20100,1.93757,45.66667,77.66667
041,1.86448,45.49626,79.37891,1.78991,50.41667,81.00000
042,1.83606,46.24220,79.97504,1.94073,46.41667,78.75000
043,1.83592,46.29526,79.99376,1.82864,47.83334,80.08334
044,1.80896,47.38764,80.38078,1.77912,49.08334,81.25000
045,1.80360,46.75094,80.78028,1.96894,43.91667,77.91667
046,1.80369,47.21286,80.71786,1.82619,49.33334,80.41667
047,1.77038,47.95256,81.33583,2.01260,44.83334,76.75000
048,1.76459,48.01498,81.43259,1.80377,48.83334,80.25000
049,1.77253,48.15855,81.05806,1.74507,48.75000,81.41667
050,1.75519,48.38327,81.45132,1.81704,47.91667,82.00000
051,1.73696,48.97316,81.93196,1.84354,48.08334,79.75000
052,1.73350,48.96692,81.88203,1.92502,46.16667,78.91667
053,1.71952,49.49751,82.20662,1.89899,45.25000,79.50000
054,1.71569,49.62859,82.20038,1.80942,47.25000,82.16667
055,1.70818,49.88140,82.42197,1.85777,47.16667,78.83334
056,1.69875,50.76779,82.15044,1.92790,49.16667,78.83334
057,1.68499,50.68977,82.82772,1.83845,48.66667,79.66667
058,1.67148,51.01436,83.17728,1.80429,47.66667,80.66667
059,1.67707,50.71473,82.72784,1.71733,49.83334,81.50000
060,1.65183,51.58864,83.64545,1.75611,49.50000,81.58334
061,1.65478,51.47628,83.18353,1.61912,53.33334,83.66667
062,1.64160,51.91636,83.62672,1.57370,53.33334,85.41667
063,1.62854,52.36580,83.48315,1.71804,52.08334,81.08334
064,1.62607,52.34395,83.73284,1.81860,47.58334,79.41667
065,1.63150,52.08178,83.54245,1.74606,49.08334,81.33334
066,1.61701,52.57803,83.84520,1.73327,50.50000,82.16667
067,1.61288,52.63421,83.90137,1.74535,50.08334,81.33334
068,1.59305,53.48003,84.13858,1.64649,52.75000,83.16667
069,1.58637,53.47691,84.11673,1.56181,54.75000,84.41667
070,1.58942,53.68914,84.14482,1.66359,51.00000,82.58334
071,1.58271,53.86392,84.30712,1.58561,55.00000,83.83334
072,1.57250,53.96692,84.22285,1.62164,53.08334,83.66667
073,1.56757,54.24782,84.36642,1.66496,52.00000,82.08334
074,1.56158,54.38203,84.79089,1.52861,55.25000,84.41667
075,1.54954,54.67541,85.02809,1.62267,51.75000,83.66667
076,1.54585,54.92822,84.89701,1.53948,56.00000,84.83334
077,1.53413,55.03121,85.11549,1.60480,54.58334,83.00000
078,1.54490,54.83146,84.94695,1.64646,53.25000,82.41667
079,1.52833,55.53683,85.32148,1.61021,52.33334,82.25000
080,1.52239,55.34332,85.43696,1.57824,53.41667,84.75000
081,1.50808,56.10487,85.25594,1.55117,55.16667,85.50000
