epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,4.71475,5.23720,23.11798,3.14336,7.25000,30.75000
002,3.12463,8.52684,33.27091,3.01760,10.75000,37.33334
003,2.94812,12.54682,43.36767,2.82148,15.50000,51.25000
004,2.84428,15.87079,49.53184,2.83024,16.33333,50.50000
005,2.76400,18.30524,53.65169,2.77824,18.00000,49.83334
006,2.70625,19.88140,55.86767,2.66295,21.58333,58.66667
007,2.63388,21.99750,59.06992,2.59206,22.25000,64.33334
008,2.66496,21.22035,58.17104,2.78597,18.25000,50.91667
009,2.63781,22.01935,58.56118,2.60826,23.75000,59.33334
010,2.58338,23.83583,60.84270,2.89271,20.50000,54.75000
011,2.54033,24.98752,62.03184,2.48526,27.91667,63.91667
012,2.51376,25.66167,63.17728,2.52711,26.50000,62.16667
013,2.49517,26.38577,63.45194,2.53282,22.75000,62.33334
014,2.47325,27.19101,64.48814,2.46658,27.08333,64.33334
015,2.44396,27.91823,64.89076,2.46762,24.91667,65.50000
016,2.43137,28.29900,65.58053,2.49112,26.16667,64.50000
017,2.40834,28.97940,66.21723,2.45838,29.50000,64.50000
018,2.39028,29.72535,66.58552,2.58915,23.66667,60.91667
019,2.38491,29.59738,66.66667,2.33366,32.00000,70.00000
020,2.36103,30.49938,67.55930,2.49146,27.75000,65.00000
021,2.34771,30.53683,68.21786,2.33503,30.50000,69.58334
022,2.31600,31.42322,68.72971,2.36236,30.50000,68.75000
023,2.30387,32.18477,68.94195,2.25554,35.00000,73.58334
024,2.29708,32.50624,69.62859,2.24819,33.33334,68.75000
025,2.27432,32.77466,69.89076,2.27779,32.41667,70.50000
026,2.24533,33.63608,70.34644,2.28584,36.08334,71.33334
027,2.21221,35.00312,71.59177,2.22553,33.66667,71.25000
028,2.21557,34.78777,71.16730,2.24340,33.50000,72.41667
029,2.20137,35.46193,71.29214,2.15422,36.41667,73.66667
030,2.19064,35.54307,71.90388,2.22153,33.16667,71.58334
031,2.16435,36.33895,72.75906,2.07456,39.75000,76.58334
032,2.16871,36.30150,72.57179,2.22112,36.25000,72.41667
033,2.14101,37.08178,73.05868,2.05935,39.33334,75.83334
034,2.10358,38.48003,73.84832,2.21808,36.16667,75.41667
035,2.10755,38.18040,73.99813,2.03255,40.58334,76.91667
036,2.07404,38.81398,74.73783,2.06084,41.25000,74.66667
037,2.06999,39.04807,74.86892,2.01317,40.58334,75.91667
038,2.05045,39.74407,75.32772,2.00848,41.33334,77.91667
039,2.03439,40.17478,75.35269,2.05283,37.58334,76.91667
040,2.01883,40.80524,76.17354,2.12212,39.00000,74.91667
041,2.00134,41.16729,76.22035,2.00940,43.08334,75.25000
042,2.00000,41.13920,76.32335,2.08712,38.41667,75.00000
043,1.96712,42.12235,77.28465,1.98611,41.50000,77.41667
044,1.96321,42.41573,77.23159,1.93839,43.50000,78.25000
045,1.94396,43.16479,77.57179,1.89700,46.00000,78.83334
046,1.93357,42.91511,77.58115,2.08567,40.41667,76.66667
047,1.92659,43.69538,77.80275,2.02850,42.50000,75.91667
048,1.89536,44.17291,78.84208,1.94837,41.66667,79.16667
049,1.89884,44.04807,78.65169,1.85607,44.50000,79.91667
050,1.87884,45.05618,78.98565,1.94965,44.33334,80.08334
051,1.86770,45.06554,79.26343,1.90494,44.08334,80.58334
052,1.86335,44.92197,79.38515,1.89824,45.75000,78.83334
053,1.84439,45.57428,79.75344,1.83150,46.66667,79.75000
054,1.84027,45.62734,79.97816,1.92734,43.66667,78.91667
055,1.81836,46.42010,80.20911,1.82518,46.33334,80.41667
056,1.81042,46.88827,80.35581,1.78651,48.16667,80.58334
057,1.81135,46.86330,80.29339,1.79740,45.83334,80.33334
058,1.79696,47.06617,80.42135,1.79664,47.91667,80.33334
059,1.77205,47.82460,81.47316,1.75076,48.41667,81.33334
060,1.77885,47.91511,80.90824,1.78059,47.83334,81.91667
061,1.76043,48.18040,81.37641,1.74972,49.08334,82.66667
062,1.75850,48.37391,81.22971,1.76516,49.00000,81.16667
063,1.73738,48.74532,81.85706,1.83828,46.58334,80.33334
064,1.73677,48.98252,81.79776,1.77785,48.25000,80.50000
065,1.73089,48.99813,81.90700,1.67934,52.00000,83.91667
066,1.71766,49.41948,81.89451,1.79695,48.50000,79.83334
067,1.71252,49.63795,82.09738,1.68189,50.16667,83.66667
068,1.71267,49.70662,82.09426,1.65335,50.83334,85.08334
069,1.70417,49.83458,82.14732,1.67699,51.00000,82.58334
070,1.70052,50.19351,82.13483,1.74753,49.75000,81.58334
071,1.69749,50.00312,82.60300,1.70203,49.83334,83.58334
072,1.68826,50.41199,82.74345,1.73975,48.66667,82.41667
073,1.67328,50.64919,82.82148,1.73176,51.75000,82.75000
074,1.65894,51.46380,83.08365,1.80539,46.16667,82.25000
075,1.65396,51.40762,83.02435,1.75647,48.66667,81.24999
076,1.66357,51.33583,83.15231,1.67214,52.83334,84.16667
077,1.65009,51.30150,83.16479,1.59486,53.50000,84.75000
078,1.63466,51.81024,83.45818,1.63656,51.00000,84.16667
079,1.62731,52.09114,83.37079,1.75359,50.00000,82.41667
080,1.63413,51.96317,83.58926,1.63579,53.33334,83.50000
081,1.62093,52.05993,83.54557,1.63457,51.00000,84.58334
082,1.62380,52.43758,83.55806,1.63647,52.83334,84.00000
083,1.59874,52.72160,83.72971,1.60332,54.58334,84.25000
084,1.60470,53.13359,83.97941,1.57169,53.58334,85.00000
085,1.60209,52.69351,83.98565,1.70514,53.08334,82.58334
086,1.59271,53.31149,84.16979,1.60491,54.16667,85.33334
087,1.58578,53.26779,84.04182,1.62661,54.00000,84.16667
088,1.57200,53.55494,84.32896,1.57907,53.16667,85.41667
089,1.56804,53.62984,84.39451,1.63036,52.50000,83.08334
090,1.56684,54.16355,84.54745,1.66247,51.83334,83.08334
091,1.55649,54.27279,84.73159,1.50890,55.75000,85.16667
092,1.56288,54.29464,84.57866,1.64956,51.83334,83.00000
093,1.55390,54.15419,84.74719,1.56835,55.91667,84.16667
094,1.54901,54.54432,84.97192,1.59322,54.08334,83.75000
095,1.54026,54.94382,84.98440,1.63597,52.50000,82.83334
096,1.53733,54.97815,85.00001,1.58622,56.50000,84.16667
097,1.52097,55.54308,85.15294,1.57822,54.25000,83.58334
098,1.51880,55.55244,85.28091,1.59737,55.41667,83.08334
099,1.50766,55.81461,85.35893,1.49531,56.08334,84.91667
100,1.51389,55.71161,85.17166,1.58615,53.33334,84.25000
101,1.51702,55.66792,85.24657,1.56169,55.00000,85.08334
102,1.51555,55.58365,85.05618,1.48567,57.83334,85.91667
103,1.49847,56.28278,85.61486,1.47030,58.83334,86.91667
104,1.49739,56.27653,85.57741,1.54895,54.75000,84.58334
105,1.47675,56.82272,85.78652,1.49363,57.33334,85.83334
106,1.47737,56.69788,85.86143,1.40959,58.66667,87.16667
107,1.48346,56.73845,85.71162,1.42118,57.25000,86.91667
108,1.46804,57.10987,85.79588,1.49873,56.25000,85.50000
109,1.46771,57.21598,85.91761,1.48913,58.41667,86.33334
110,1.48142,56.88515,85.66479,1.48977,59.08334,87.08334
111,1.45658,57.31274,85.99252,1.49880,56.41667,85.91667
112,1.45463,57.41885,86.37641,1.43925,58.41667,86.33334
113,1.45754,57.50624,86.20475,1.46671,58.16667,85.58334
114,1.45492,57.43758,86.20787,1.36926,60.58334,86.83333
115,1.44070,57.93383,86.28590,1.50398,55.75000,85.33334
116,1.45456,57.69663,85.98940,1.43735,60.16667,86.83334
117,1.44279,57.41261,86.37641,1.52253,58.58334,85.50000
118,1.43845,58.21161,86.46692,1.44836,60.33334,85.91667
119,1.41977,58.43945,86.52934,1.43806,58.08334,86.75000
120,1.41409,58.46130,86.62610,1.45830,58.41667,85.83334
121,1.41965,58.69226,86.60113,1.38832,59.58334,87.66667
122,1.40862,58.85456,87.01936,1.50002,56.83334,87.08334
123,1.40666,58.93259,86.77279,1.45137,59.91667,84.91667
124,1.40044,59.16979,87.09738,1.40931,60.16667,86.25000
125,1.40581,58.89825,86.86330,1.46459,59.50000,86.50000
126,1.39915,58.98565,86.77279,1.37522,59.33334,87.58334
127,1.38546,59.48190,87.11611,1.50306,57.91667,84.75000
128,1.40246,59.37890,86.92884,1.50225,57.08334,84.33334
129,1.38555,59.37890,87.20662,1.43717,58.00000,85.83334
130,1.38748,59.68165,87.02560,1.48919,57.08334,86.74999
131,1.38453,59.80962,86.90076,1.55592,55.58334,85.16667
132,1.38155,59.74407,87.24095,1.42715,59.00000,87.00000
133,1.38039,59.45693,87.29089,1.44179,60.66667,86.66667
134,1.37314,59.71286,87.30650,1.48172,57.33334,85.83334
135,1.35340,60.33084,87.59052,1.44976,58.25000,85.33334
136,1.38169,59.88140,87.08802,1.37552,61.08334,87.50000
137,1.36044,60.12485,87.69663,1.39062,59.25000,87.75000
138,1.35451,60.23409,87.54682,1.38116,60.58334,88.00000
139,1.35738,60.27466,87.76842,1.36813,58.91667,86.50000
140,1.35608,60.78340,87.45319,1.44622,57.58334,85.91667
141,1.34406,60.88327,87.59364,1.35588,61.50000,86.91667
142,1.34581,60.85831,87.75282,1.34708,61.41667,87.58334
143,1.34454,60.68040,87.77154,1.35006,62.08334,87.41667
144,1.33460,61.09551,87.70912,1.38317,59.83334,86.66667
145,1.33846,60.67728,87.98689,1.37906,59.50000,87.83334
146,1.33564,61.25780,87.77778,1.31779,61.58334,87.91667
147,1.33065,61.10487,87.75282,1.41173,60.50000,86.75000
148,1.33016,61.02684,87.99001,1.36050,60.83334,87.83334
149,1.32251,61.38577,88.10550,1.33341,61.41667,88.08334
150,1.30947,61.92572,87.95881,1.32556,62.33334,88.66667
151,1.31835,61.41386,88.28340,1.34380,62.08334,86.91667
152,1.32114,61.35768,88.21786,1.34311,60.50000,88.66667
153,1.31220,61.81960,88.19289,1.31128,61.00000,90.41667
154,1.30699,62.12859,88.35519,1.32620,60.91667,88.50000
155,1.31034,61.82272,88.08053,1.37272,61.66667,86.75000
156,1.30375,62.09426,88.14295,1.34143,62.33334,87.33334
157,1.29604,62.00063,88.48003,1.31869,62.33334,88.58334
