epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,4.68430,1.19666,5.81633,4.58061,1.58537,8.49593
002,4.56867,1.48887,6.63343,4.55095,2.25610,8.90244
003,4.52492,1.76948,7.77675,4.50427,1.97154,6.78862
004,4.49686,2.01763,8.56756,4.50104,2.05285,9.89837
005,4.46615,2.38250,9.63976,4.45568,2.72358,9.24797
006,4.43265,2.77597,10.83101,4.66333,1.91057,7.21545
007,4.40177,3.32715,11.92332,4.39519,3.90244,13.23171
008,4.37667,3.59385,12.69094,4.35975,4.95935,15.20325
009,4.34926,4.00742,13.61085,4.34446,3.51626,14.47154
010,4.32686,4.38389,14.22001,4.36766,3.47561,12.88618
011,4.30304,4.75031,14.90182,4.28752,5.52846,18.02846
012,4.27731,5.17857,15.85730,4.26882,4.73577,14.57317
013,4.26751,5.36255,16.13095,4.23762,5.10163,17.05285
014,4.24921,5.82792,16.69218,4.27921,4.91870,17.05285
015,4.23700,5.93924,17.02226,4.24533,6.58537,17.54065
016,4.22881,6.30257,17.42811,4.20148,7.13415,20.24390
017,4.20775,6.57622,17.77829,4.24782,5.67073,17.21545
018,4.19562,6.83596,18.29391,4.15420,7.15447,20.00000
019,4.18735,6.92950,18.52891,4.15523,7.84553,19.18699
020,4.17149,7.27814,18.90847,4.22586,6.58537,18.08943
021,4.16563,7.35158,19.06694,4.21355,7.70325,18.08943
022,4.15418,7.61982,19.43259,4.11960,8.27236,20.71138
023,4.14349,7.74041,19.54623,4.14724,8.23171,20.06098
024,4.13712,7.86101,19.80365,4.10061,8.84146,20.50813
025,4.12708,8.13544,20.08967,4.12012,8.49593,20.22358
026,4.11958,8.33952,20.37802,4.17486,6.99187,19.67480
027,4.11192,8.38745,20.49088,4.05563,9.32927,21.82927
028,4.10394,8.58534,20.76299,4.06662,10.18293,20.79268
029,4.09586,8.78247,20.94542,4.08039,9.02439,22.05285
030,4.08875,8.95949,20.99567,4.08704,8.90244,21.95122
031,4.08329,9.05303,21.18043,4.06145,10.42683,23.17073
032,4.07069,9.30118,21.62183,4.04340,9.85772,21.32114
033,4.07023,9.19759,21.58782,4.05960,9.41057,21.28049
034,4.06076,9.45114,21.68522,4.04328,9.95935,21.78862
035,4.05551,9.60884,21.91249,3.99440,11.05691,23.41463
036,4.04769,9.73485,22.10730,4.02603,10.58943,23.10976
037,4.04388,9.93893,22.14286,4.02510,10.69106,22.50000
038,4.03848,9.94125,22.35931,4.00349,11.58537,25.06097
039,4.02787,10.25046,22.54020,4.02283,9.75610,23.51626
040,4.02417,10.32081,22.61518,3.98378,10.65041,22.84553
041,4.01832,10.39425,22.85946,3.99855,11.01626,22.05285
042,4.01478,10.45300,22.83163,3.97162,10.83333,25.52845
043,4.00838,10.66868,22.96614,3.96153,10.97561,22.96748
044,4.00985,10.59601,22.91512,3.95764,11.78862,26.07723
045,3.99660,10.90213,23.22202,3.95981,12.01219,24.63415
046,3.98945,11.02118,23.45238,3.96280,11.86992,23.73984
047,3.99166,11.04978,23.39363,3.93885,12.17480,24.75610
048,3.98589,11.15028,23.51731,3.94528,13.15041,24.43089
049,3.98281,11.24845,23.62786,3.93355,11.93089,24.61382
050,3.98061,11.22526,23.51345,3.92453,12.80488,25.28455
051,3.97658,11.40383,23.67038,3.92488,12.76423,25.99593
052,3.96757,11.53370,23.93012,3.92393,12.76423,27.13415
