epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,4.43011,2.84709,11.63729,4.32856,3.08943,13.33333
002,4.20609,5.12059,18.62477,4.14018,5.00000,19.43089
003,4.06513,7.12430,23.78556,4.06853,6.60569,22.72358
004,3.95584,8.49103,27.25108,3.86870,8.51626,29.85772
005,3.85166,9.83380,30.59292,3.85067,9.45122,30.40650
006,3.76632,11.21367,33.27458,3.75609,10.77236,33.57724
007,3.69502,12.31679,35.37029,3.69684,11.58537,35.44715
008,3.62802,13.40755,37.37786,3.51282,16.21951,40.69106
009,3.56001,14.70006,39.50680,3.45030,15.46748,42.17480
010,3.50582,15.66404,41.14641,3.62441,14.18699,38.33333
011,3.45602,16.58782,42.50928,3.34339,17.64228,46.19918
012,3.40564,17.74196,43.88374,3.72204,16.21951,39.87805
013,3.35891,18.50804,45.17780,3.43873,17.15447,43.02845
014,3.31732,19.42100,46.37910,3.38102,18.98374,45.95528
015,3.27944,20.18012,47.53711,3.20785,19.95935,48.69918
016,3.24208,20.76763,48.25062,3.16376,22.70325,51.21951
017,3.21050,21.37059,49.16512,3.16261,21.84959,50.56910
018,3.18227,22.06865,49.89255,3.14092,22.03252,51.64634
019,3.14609,22.81076,50.86580,3.05372,24.06504,53.33333
020,3.12580,23.19651,51.40538,3.13933,23.04878,51.50406
021,3.10434,23.75309,51.89394,3.09617,24.55285,52.47968
022,3.07730,24.18599,52.77288,3.03001,25.50813,53.63821
023,3.05430,24.67919,53.08519,2.94267,26.44309,56.30081
024,3.03148,25.23191,53.91620,2.98290,25.87398,55.04065
025,3.00987,25.89981,54.27103,3.06879,25.89431,53.47561
026,2.98995,26.12090,54.82993,2.91871,27.19512,56.32114
027,2.96502,26.63652,55.34787,2.89212,27.45935,57.80488
028,2.95011,26.98670,55.76144,2.88679,27.60163,57.76423
029,2.93036,27.46599,56.21058,2.94022,27.96748,57.05285
030,2.92221,27.54561,56.41388,2.89320,27.43902,58.04878
031,2.89578,27.95455,57.03231,2.88076,27.90650,58.31301
032,2.89060,28.21506,57.03618,2.85986,29.26829,57.82520
033,2.87239,28.63946,57.60436,2.77106,30.40650,59.91870
034,2.84875,29.20764,58.00634,2.73911,31.54471,60.87398
035,2.84215,29.19682,58.49335,2.80021,30.14227,59.79675
036,2.83066,29.57792,58.58457,2.79443,29.43089,59.10569
037,2.81178,29.85699,58.88296,2.73654,31.48374,60.85366
038,2.79586,30.27520,59.29035,2.74720,30.99593,60.10162
039,2.78679,30.54499,59.58256,2.67523,31.89024,62.15447
040,2.77037,30.70501,59.84926,2.71994,31.50406,61.11789
041,2.76429,30.97635,60.27597,2.68538,33.27236,61.74797
042,2.75433,31.18661,60.35173,2.68398,32.50000,61.78862
043,2.74780,31.26469,60.60760,2.64560,33.43496,62.98780
044,2.72409,31.71691,61.01423,2.63653,33.88211,63.19106
045,2.71593,32.15368,61.17656,2.62636,33.88211,63.41463
046,2.70896,32.22093,61.34972,2.59217,34.18699,63.39431
047,2.69536,32.26809,61.58936,2.59379,34.30894,63.69918
048,2.68631,32.63451,61.93800,2.58629,35.58943,63.43496
049,2.67890,32.87337,62.07715,2.58269,34.77642,63.39431
050,2.66592,33.07669,62.35235,2.57973,34.49187,63.73984
051,2.65288,33.25603,62.58967,2.57510,34.87805,64.53252
052,2.65063,33.40754,62.71568,2.55933,34.61382,64.02439
053,2.63925,33.75464,62.96073,2.54990,35.32520,64.95935
054,2.62831,33.97650,63.03339,2.52484,36.01626,64.89837
055,2.61566,34.09091,63.46552,2.50920,36.23984,65.42683
056,2.60627,34.33210,63.58689,2.51489,35.81301,64.89837
057,2.60322,34.40399,63.67888,2.52605,36.03658,65.58943
058,2.59821,34.67764,64.03603,2.48254,36.42276,66.64634
059,2.58532,34.76731,64.13961,2.50669,36.19918,65.71138
060,2.57625,35.03865,64.48979,2.46385,37.33740,66.32114
061,2.57273,35.06648,64.33209,2.46480,37.21545,66.93089
062,2.56117,35.42285,64.64672,2.44983,37.17480,66.95122
063,2.55579,35.43367,64.62663,2.44218,37.96748,66.97154
064,2.54442,35.65708,64.91419,2.43362,38.33333,66.72764
065,2.54020,35.89286,65.05875,2.42311,37.96748,66.50407
066,2.53325,36.01423,65.20176,2.41017,38.61789,67.52032
067,2.52700,36.22372,65.42517,2.41124,38.33333,67.45935
068,2.52445,36.17579,65.39116,2.41444,38.17073,68.45528
069,2.52073,36.33503,65.46382,2.42295,38.31301,67.15447
070,2.51053,36.56772,65.70114,2.39373,38.63821,68.23170
071,2.50964,36.43785,65.72665,2.39074,38.80081,67.96748
072,2.50091,36.56772,66.00804,2.38554,38.88211,68.45528
073,2.49486,36.88544,65.87044,2.37500,39.14634,68.65854
074,2.49074,36.85065,65.87199,2.36592,39.16666,68.69919
075,2.48296,37.22093,66.26701,2.36456,39.63414,68.98374
076,2.48027,37.32375,66.26546,2.36042,39.63414,68.57723
077,2.46918,37.48608,66.49969,2.35924,39.91870,68.78049
078,2.47088,37.60049,66.55612,2.34368,39.81707,68.98374
079,2.46307,37.52860,66.75556,2.35009,39.95935,68.82114
080,2.45903,37.81385,66.73470,2.33266,40.10162,69.59349
081,2.46403,37.62678,66.62492,2.33722,39.71545,69.22764
082,2.45168,37.96614,66.89548,2.35035,39.65447,69.10569
083,2.45508,37.66156,66.93259,2.33835,39.87805,69.32927
084,2.44141,38.07282,67.12353,2.32669,39.87805,69.65447
085,2.44189,38.04731,67.16759,2.34048,39.53252,69.32927
086,2.43682,38.12384,67.14363,2.33545,39.95935,69.30894
087,2.44142,37.92208,66.95192,2.33093,39.95935,69.45122
088,2.43742,38.26376,67.16605,2.32446,40.00000,69.61382
089,2.43727,38.22124,67.18460,2.31749,40.18293,69.75610
090,2.43332,38.25912,67.28355,2.32147,40.20325,69.63415
091,2.43205,38.15785,67.30597,2.32266,40.50813,69.51219
092,2.43062,38.24289,67.39796,2.31378,40.40650,69.43089
093,2.42769,38.43692,67.44125,2.31441,40.56910,69.79675
094,2.42828,38.37662,67.38946,2.31811,40.18293,69.53252
095,2.42294,38.57916,67.44820,2.31127,40.34553,70.04065
096,2.42323,38.52814,67.49227,2.31034,40.75203,69.63415
097,2.42437,38.52737,67.44048,2.31615,40.22358,70.00000
098,2.42288,38.43460,67.51624,2.31775,40.28455,69.91870
