epoch,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
001,4.57583,3.00247,12.11503,4.30155,4.20732,14.95935
002,4.18918,5.31540,19.55860,4.07897,6.03659,24.18699
003,4.04454,7.14054,24.62894,4.00600,6.86992,25.30488
004,3.92015,8.98036,28.57452,3.92987,9.08537,29.26829
005,3.80036,10.71351,32.39719,3.76686,10.34553,32.84553
006,3.69921,12.57730,35.74830,3.75154,11.42276,34.14634
007,3.60499,14.08782,38.37199,3.66002,13.39431,37.88618
008,3.51484,15.75680,41.05751,3.44532,17.47968,44.69512
009,3.43178,17.35235,43.42300,3.42216,17.33740,43.21138
010,3.35044,18.91079,45.66790,3.39126,18.59756,45.93496
011,3.28187,20.33550,47.54561,3.21225,21.93089,49.22764
012,3.21492,21.36905,49.34446,3.22325,21.54472,49.24797
013,3.16003,22.52242,50.65399,3.08651,24.16667,53.45528
014,3.10288,23.74072,52.10807,3.18027,22.84553,49.87805
015,3.05649,24.48670,53.17331,3.05628,25.42683,54.24797
016,3.01375,25.52876,54.24320,2.97236,27.25610,57.09349
017,2.98007,26.39379,55.10436,2.90825,27.05285,57.72358
018,2.93206,27.30365,56.33194,2.89266,28.39431,57.84553
019,2.89267,28.21506,57.18538,2.95617,26.34146,55.08130
020,2.85865,28.72990,57.98315,2.92626,27.92683,56.80894
021,2.82972,29.40476,58.76469,2.80794,29.49187,59.87805
022,2.79618,30.12369,59.37384,2.83111,28.92276,58.94309
023,2.76599,30.84879,60.15693,2.68103,32.11382,62.56097
024,2.74071,31.45408,60.73206,2.69071,32.50000,61.76829
025,2.71544,31.91327,61.39378,2.67990,33.13008,62.29675
026,2.68557,32.71027,61.94496,2.65133,32.98780,63.86179
027,2.66446,33.21815,62.55257,2.58792,33.88211,65.38618
028,2.63655,33.75232,63.02412,2.56800,34.69512,65.16260
029,2.61653,34.06540,63.42532,2.56597,35.73170,65.34553
030,2.59735,34.71707,63.80102,2.54589,35.38618,66.09756
031,2.57307,35.09431,64.39935,2.52216,36.26016,65.22358
032,2.55523,35.70346,64.68151,2.46821,36.99187,66.56504
033,2.52945,36.12941,65.26128,2.48521,37.19512,66.64634
034,2.51022,36.53680,65.77458,2.52355,36.44309,65.91463
035,2.49515,36.90631,66.04669,2.46706,37.39837,66.93089
036,2.47612,37.31447,66.55921,2.40293,37.76423,68.65854
037,2.45833,37.86565,66.70068,2.49551,36.48374,66.52439
038,2.44460,38.12152,67.18615,2.38250,39.04472,68.57723
039,2.42384,38.44233,67.53942,2.38005,40.38618,69.39024
040,2.41050,38.88760,67.83241,2.41201,38.63821,68.43496
041,2.39016,39.36766,68.12461,2.38216,38.96341,68.45528
042,2.37814,39.57328,68.32483,2.32068,40.18293,70.65041
043,2.36922,39.86163,68.61008,2.30134,41.36179,70.38618
044,2.34738,40.36719,69.13497,2.34981,40.44715,69.16666
045,2.33343,40.73516,69.47356,2.25346,42.56097,70.91463
046,2.31435,41.06756,69.68151,2.38242,39.69512,69.79675
047,2.29597,41.39688,70.18939,2.38122,39.16666,69.12601
048,2.28378,41.84214,70.27443,2.29420,41.42276,70.85366
049,2.27420,41.90553,70.62771,2.25633,42.70325,71.50407
050,2.25855,42.45053,70.61843,2.20913,43.35366,71.68699
051,2.25333,42.58813,70.96320,2.20394,44.08537,72.56097
052,2.22999,43.07514,71.35822,2.20168,43.84146,72.54065
053,2.21981,43.21042,71.47186,2.21617,42.45935,72.23577
054,2.21244,43.39595,71.62646,2.19026,43.63821,72.82520
055,2.19787,43.88451,71.83441,2.10177,46.11789,74.39024
056,2.18526,43.99969,72.27814,2.22856,43.51626,72.19512
057,2.17728,44.43182,72.33225,2.15640,44.32927,72.84553
058,2.16296,44.54468,72.65538,2.13157,45.87398,73.63821
059,2.14716,44.99923,72.93522,2.10107,45.54878,73.78049
060,2.14210,45.12832,73.03416,2.07646,46.58537,74.67480
061,2.13137,45.41821,73.30396,2.09781,46.48374,74.49187
062,2.11569,45.77536,73.52582,2.07857,46.70732,74.36992
063,2.10353,45.84338,73.80025,2.09433,46.68699,74.61382
064,2.09177,46.14177,73.96181,2.02466,48.19106,76.17886
065,2.08758,46.29947,73.98114,2.09484,45.91463,74.00407
066,2.07463,46.53602,74.17826,2.02380,47.47968,75.20325
067,2.06064,47.12508,74.33209,2.05628,46.74797,75.34553
068,2.06014,47.09957,74.49057,2.00200,47.52032,76.03658
069,2.04229,47.43043,74.84462,2.05260,47.39837,75.97561
070,2.03315,47.68012,75.04097,2.02294,48.08943,75.08130
071,2.02956,47.70021,75.13528,2.00158,49.08537,75.60976
072,2.01668,47.92517,75.28371,1.96844,49.34959,76.36179
073,2.01376,48.08596,75.30767,2.03190,47.68293,75.36585
074,1.99711,48.57220,75.64703,2.00805,47.84553,76.56504
075,1.99423,48.39440,75.66326,1.99915,48.88211,75.89431
076,1.98535,48.93476,75.83566,1.91189,50.54878,77.17480
077,1.97438,48.99428,76.07838,1.93030,50.14228,77.13415
078,1.96825,49.24629,76.15028,1.99699,48.31301,77.01219
079,1.95734,49.47511,76.33890,1.96416,49.53252,76.95122
080,1.95565,49.57328,76.35513,1.91627,50.06097,77.54065
081,1.94861,49.70470,76.46490,1.96181,49.12601,76.76829
082,1.94009,49.84926,76.58627,1.92913,50.69106,76.93089
083,1.92926,49.97836,76.80891,1.91605,50.77235,78.08943
084,1.92209,50.38343,77.04159,1.92219,51.40244,77.17480
085,1.91069,50.50788,77.15136,1.90509,50.87398,77.15447
086,1.90536,50.63621,77.21320,1.91640,50.04065,76.91057
087,1.89897,50.72047,77.40878,1.88986,51.70732,78.10976
088,1.89342,50.82869,77.34849,1.88482,51.78862,78.29268
089,1.88582,51.16497,77.52010,1.93917,50.50813,77.21545
090,1.88352,51.19434,77.55257,1.93433,50.18293,77.54065
091,1.87167,51.49041,77.98006,1.92502,50.02032,77.62195
092,1.86309,51.58782,77.82313,1.86345,51.09756,78.71951
093,1.85986,51.73160,78.03958,1.85117,52.31707,78.27235
094,1.84660,52.05782,78.29004,1.89954,51.52439,78.37399
095,1.84039,52.29051,78.31555,1.88541,51.58537,78.13008
096,1.83788,52.23485,78.35575,1.84856,53.73984,78.53658
097,1.83171,52.33457,78.51654,1.87244,52.15447,78.35365
098,1.81907,52.76979,78.65800,1.85912,52.29675,78.47561
099,1.81699,52.76206,78.80952,1.80395,53.25203,79.47154
100,1.81577,52.84400,78.76314,1.91488,51.28049,77.70325
101,1.80997,53.03107,78.87137,1.82167,53.04878,79.79675
102,1.79941,53.23361,79.11101,1.83732,52.25610,79.02439
103,1.79154,53.47093,79.24629,1.84740,52.74390,78.78049
104,1.79066,53.50031,79.19604,1.81132,53.84146,79.14634
105,1.78066,53.66033,79.39935,1.83820,53.45528,79.20731
106,1.77854,53.70748,79.38312,1.81635,53.65854,78.96341
107,1.77425,53.87059,79.33983,1.85066,52.90650,79.06504
108,1.76312,54.05999,79.58488,1.82856,53.35366,79.34959
109,1.75809,54.14425,79.54778,1.81208,53.23170,79.93903
110,1.75626,54.18444,79.68460,1.83624,52.94715,79.49187
111,1.75382,54.31973,79.81602,1.79083,53.76016,79.45122
112,1.74612,54.54082,79.85390,1.73774,54.89837,80.40650
113,1.73573,54.64131,80.03478,1.82400,53.82114,79.55284
114,1.73482,54.85158,80.02628,1.83401,53.35366,79.39024
115,1.72744,54.93893,80.10513,1.79726,54.06504,79.85772
116,1.72357,54.99382,80.24815,1.78137,54.12601,79.67480
117,1.71841,55.09045,80.32854,1.76454,55.02032,80.87399
118,1.70947,55.40816,80.41512,1.77549,54.18699,79.28861
119,1.70683,55.32700,80.62771,1.78926,53.88211,79.65447
120,1.69881,55.80396,80.67486,1.76008,55.08130,80.28455
121,1.70155,55.63698,80.62229,1.76045,54.69512,80.52845
122,1.69111,55.56277,80.80705,1.80274,53.94309,80.08130
123,1.69080,55.85807,80.88744,1.72782,54.89837,81.36179
124,1.67452,56.00185,81.10776,1.76739,55.00000,80.06097
125,1.67916,56.15491,81.00417,1.74109,54.63414,81.28049
126,1.67424,56.07529,81.15569,1.75335,54.04472,80.60976
127,1.66625,56.36596,81.11086,1.77393,54.47154,80.08130
128,1.66572,56.40615,81.14255,1.76932,54.63414,80.30488
129,1.66602,56.42780,80.98176,1.73108,54.87805,80.26423
130,1.65290,56.61410,81.42007,1.76371,54.83740,80.02032
131,1.64924,56.81123,81.40074,1.72690,55.18293,81.30081
132,1.64433,56.92641,81.62878,1.72453,55.44715,80.56911
133,1.63610,57.00758,81.83596,1.73717,54.71545,81.30081
134,1.63655,57.19310,81.66821,1.67881,55.77236,81.03658
135,1.63177,57.21629,81.79422,1.72100,56.64634,80.95528
136,1.62531,57.35544,81.77026,1.67807,56.84959,81.50407
137,1.62212,57.45052,81.84060,1.70307,55.97561,81.07723
138,1.62178,57.34771,81.84215,1.67298,57.17480,81.80894
139,1.61818,57.51778,81.83751,1.72274,56.09756,80.71138
140,1.60991,57.61209,82.06942,1.70904,56.68699,80.52845
141,1.60659,57.83859,82.05087,1.71867,55.56910,81.13821
142,1.60029,58.11070,82.22866,1.67592,57.11382,81.50407
143,1.60519,57.99165,82.11657,1.66025,57.13414,82.05284
144,1.59431,58.22820,82.33379,1.70836,56.50406,81.74796
145,1.59317,58.19109,82.24953,1.64897,57.23577,81.82927
146,1.58871,58.09833,82.48685,1.68364,56.34146,81.78861
147,1.58133,58.51963,82.44898,1.68023,57.15447,81.84959
148,1.58105,58.40445,82.59045,1.63322,57.41870,82.33739
149,1.57703,58.51345,82.57421,1.67241,56.82927,81.40244
150,1.57337,58.72526,82.62137,1.64543,57.54065,81.89024
151,1.56839,58.75618,82.64378,1.68378,56.70732,81.74796
152,1.56550,58.79870,82.76670,1.67076,57.25610,81.64634
153,1.56148,58.85049,82.81540,1.68210,55.93496,82.31707
154,1.55020,59.09245,82.98160,1.66275,57.19512,82.74390
155,1.54904,59.20532,83.00247,1.67691,57.17480,81.54472
156,1.54678,59.18522,83.08828,1.65689,57.50000,82.27642
157,1.54630,59.38621,82.95763,1.66908,57.62195,81.78861
158,1.54029,59.49057,83.20037,1.66162,57.39837,81.89024
159,1.53412,59.58411,83.16172,1.67451,56.80894,81.52439
160,1.53773,59.43182,83.08209,1.64117,57.92683,82.05284
161,1.53215,59.62199,83.30937,1.66378,57.27642,82.01219
162,1.51856,59.83225,83.46243,1.58944,58.88211,82.76423
163,1.52338,59.81756,83.34724,1.65399,57.58130,81.68699
164,1.52047,59.86472,83.43151,1.61737,58.61789,82.96748
165,1.51205,60.09663,83.50804,1.64851,57.90650,81.91057
166,1.51110,60.13683,83.69898,1.61172,58.71951,82.37804
167,1.50806,60.23191,83.60312,1.59524,58.02845,83.35365
168,1.50308,60.41048,83.62322,1.62261,58.84146,82.01219
169,1.50027,60.41357,83.67579,1.63686,57.88618,82.58130
170,1.50102,60.43367,83.73299,1.62442,58.29268,82.86585
171,1.49767,60.42826,83.80875,1.62044,58.96341,82.39837
172,1.49473,60.61766,83.89687,1.60195,58.43496,82.82520
173,1.48596,60.77999,84.06153,1.63781,58.08943,82.43903
174,1.48629,60.72743,84.00742,1.62755,58.67886,82.03252
175,1.47465,61.03819,84.18599,1.60368,58.25203,83.02845
176,1.47962,61.06756,84.07081,1.63420,58.04878,82.88618
177,1.47377,61.09385,84.17285,1.60661,57.92683,83.23170
178,1.47068,61.18970,84.04762,1.61289,59.30894,83.29268
179,1.46599,61.17888,84.29422,1.59622,58.29268,83.19106
180,1.46297,61.29638,84.42332,1.59966,58.51626,83.31300
181,1.46123,61.36982,84.32436,1.60969,59.10569,82.43903
182,1.45609,61.60637,84.35606,1.63856,58.29268,82.60162
183,1.45554,61.42702,84.48284,1.57703,59.10569,83.45528
184,1.45218,61.48577,84.46738,1.60782,59.55285,82.66260
185,1.44578,61.84833,84.47047,1.57731,58.86179,83.13008
186,1.44236,61.84756,84.58024,1.60050,57.78455,83.10976
187,1.44466,61.84137,84.61967,1.59208,59.53252,83.19106
188,1.44268,61.97975,84.70547,1.57790,59.73577,83.86179
189,1.43170,62.03850,84.85003,1.59968,58.76016,83.10976
190,1.43291,61.83519,84.74181,1.57904,59.49187,83.25203
191,1.43417,61.95424,84.72634,1.60272,59.12601,82.84553
192,1.42177,62.29514,84.99536,1.56864,59.08537,82.80488
193,1.41968,62.23871,84.88095,1.57286,59.43089,83.69919
194,1.42157,62.34926,85.03015,1.58054,59.89837,82.82520
195,1.41548,62.55489,84.90800,1.55255,60.32520,83.57723
196,1.41364,62.52937,85.03478,1.59971,59.59349,82.72357
197,1.41397,62.38173,85.11441,1.56049,60.06097,83.04878
198,1.40993,62.66852,85.07189,1.55840,60.42683,83.17073
199,1.40460,62.72495,85.14997,1.58367,59.89837,83.59756
200,1.40252,62.84323,85.14533,1.56517,59.41057,83.25203
201,1.39778,62.83782,85.24892,1.55602,60.42683,83.41463
202,1.40390,62.80071,85.25819,1.58539,59.20732,83.27235
203,1.39762,62.89116,85.26901,1.55914,60.12195,83.59756
204,1.39252,63.14780,85.35946,1.54590,60.56910,83.67886
205,1.38714,63.12461,85.36410,1.54228,60.54878,83.63821
206,1.38534,62.94527,85.49706,1.57724,59.43089,83.55691
207,1.37899,63.26376,85.54344,1.55209,59.83740,83.21138
208,1.38095,63.26840,85.48856,1.53804,60.56910,83.61788
209,1.37170,63.55828,85.66868,1.53633,60.44715,83.84146
210,1.37444,63.32019,85.53648,1.54260,60.32520,84.04472
211,1.37288,63.34879,85.63157,1.55476,60.00000,83.57723
212,1.36608,63.64641,85.78772,1.55714,60.24390,83.71951
213,1.36553,63.52273,85.75294,1.60273,59.79675,83.13008
214,1.36417,63.60003,85.77458,1.56030,60.65041,83.55691
215,1.35991,63.58070,85.77381,1.56694,60.28455,83.80081
216,1.35315,63.86905,85.91682,1.54297,60.65041,84.20731
217,1.35001,63.99351,85.87276,1.52741,60.63008,84.45122
218,1.34780,64.08859,85.98562,1.56632,60.40650,83.41463
219,1.35278,63.96259,85.98098,1.55736,60.89431,83.61788
220,1.34591,64.03061,85.97016,1.54689,60.44715,84.41057
221,1.34233,64.15353,86.09230,1.52838,60.75203,84.45122
222,1.34046,64.40244,86.16264,1.52227,60.34553,83.92276
223,1.33212,64.47124,86.25696,1.53287,61.19918,83.92276
224,1.32760,64.47511,86.30257,1.52704,61.03658,84.00407
225,1.33397,64.47047,86.17656,1.51721,60.79268,83.98373
226,1.33028,64.54314,86.33503,1.56093,59.97968,83.51626
227,1.32517,64.39085,86.36054,1.53991,61.21951,83.47561
228,1.31892,64.67377,86.28015,1.51672,61.05691,83.96341
229,1.32095,64.76422,86.38683,1.54481,60.75203,83.78049
230,1.31607,64.84539,86.43398,1.56212,60.06097,83.49593
231,1.31457,64.97836,86.40229,1.53681,61.26016,83.65853
232,1.31115,65.03401,86.57777,1.50903,61.23984,84.28861
233,1.31600,64.96289,86.49660,1.52945,60.79268,83.86179
234,1.31093,65.00850,86.51206,1.51542,60.73170,84.43089
235,1.30599,65.11827,86.56540,1.51926,61.17886,84.16666
236,1.30141,65.25047,86.63806,1.54336,60.56910,83.92276
237,1.29487,65.41125,86.76948,1.51431,61.68699,84.36992
238,1.29524,65.34323,86.77180,1.55489,61.05691,83.80081
239,1.29140,65.52412,86.74629,1.52436,61.32114,83.80081
240,1.29038,65.54422,86.94186,1.52982,61.07724,83.96341
241,1.29449,65.44682,86.76020,1.53808,61.50406,84.06504
242,1.28432,65.65708,86.93414,1.52656,61.17886,84.47154
243,1.28351,65.62771,86.88157,1.52731,61.52439,84.30894
244,1.28367,65.69960,86.91945,1.53435,60.81301,84.08537
245,1.28253,65.56895,86.90708,1.54298,62.31707,83.92276
246,1.27967,65.66713,86.96506,1.51992,61.60569,84.08537
247,1.27052,65.81246,87.13512,1.53032,61.01626,83.88211
248,1.27012,66.05906,87.14749,1.51275,61.58537,84.55284
249,1.26842,66.05365,87.12276,1.51944,61.80894,84.28861
250,1.26525,66.16032,87.10266,1.50636,61.15854,84.53252
251,1.26326,66.05983,87.24026,1.54560,61.21951,83.82114
252,1.26296,66.12709,87.14981,1.51640,61.56504,84.26829
253,1.26007,66.16651,87.21861,1.53677,60.48780,84.08537
254,1.25985,66.17811,87.40028,1.50688,61.52439,84.41057
255,1.25140,66.48346,87.28510,1.50913,61.48374,84.45122
256,1.25054,66.53061,87.45207,1.50784,61.62601,84.57317
257,1.25355,66.28788,87.29669,1.49055,61.60569,84.43089
258,1.25118,66.53989,87.41883,1.50671,61.30081,84.12601
259,1.24212,66.58781,87.57653,1.46852,62.37805,84.77642
260,1.24460,66.60250,87.46599,1.51059,61.30081,84.77642
261,1.23700,66.83209,87.61750,1.52482,61.97154,84.43089
262,1.23997,66.61101,87.50232,1.51726,61.26016,84.45122
263,1.23427,66.86765,87.56261,1.51522,61.66666,84.14634
264,1.23260,66.87925,87.61286,1.48708,62.82520,84.79675
265,1.23171,66.88621,87.54252,1.48188,62.31707,84.24796
266,1.22598,67.11580,87.70331,1.50499,62.54065,84.73577
267,1.22317,67.14595,87.73500,1.50786,61.95122,85.00000
268,1.22551,67.09415,87.65770,1.50759,61.91057,84.67480
269,1.21929,67.17764,87.82777,1.50837,61.74797,84.87804
270,1.21918,67.27505,87.82236,1.51583,61.58537,84.75610
271,1.21904,67.14749,87.72959,1.51811,61.82927,84.39024
272,1.21529,67.29746,87.83241,1.51973,61.91057,84.14634
273,1.20867,67.46753,87.92594,1.51609,61.76829,84.55284
274,1.20917,67.46599,88.06818,1.47858,62.64228,84.73577
275,1.20497,67.67084,88.01098,1.49257,62.96748,84.97968
276,1.20874,67.43120,87.90816,1.48529,62.33740,85.00000
277,1.20147,67.68398,88.07668,1.49980,62.19512,84.32927
278,1.20225,67.64455,88.12771,1.50561,61.91057,84.77642
279,1.20022,67.61054,88.08519,1.48861,61.97154,85.32520
280,1.19792,67.86642,88.11301,1.48213,62.80488,85.12195
281,1.19504,67.68011,88.09911,1.48848,62.56097,85.32520
282,1.19040,67.88110,88.15012,1.53654,61.62601,83.90244
283,1.18616,68.02876,88.21738,1.50021,62.11382,85.10162
284,1.18650,68.01407,88.24521,1.47972,63.13008,84.73577
285,1.18097,68.19418,88.42532,1.48128,62.76423,84.77642
286,1.18689,68.02180,88.22433,1.50217,61.03658,84.32927
287,1.18360,68.07746,88.30937,1.48993,62.09349,84.69512
288,1.17743,68.23361,88.39285,1.50297,61.58537,84.89837
289,1.17241,68.31246,88.51654,1.50485,62.03252,84.32927
