/global/home/users/brianyao/.local/lib/python3.6/site-packages/gym/logger.py:30: UserWarning: WARN: Box bound precision lowered by casting to float32
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Successfully loaded checkpoint /global/scratch/brianyao/DeepRL_Pretraining/pretraining/ik_checkpoints/cheetah/model_30_0.03330245401680148_0.018701719490285866.pth
Successfully loaded checkpoint /global/scratch/brianyao/DeepRL_Pretraining/pretraining/ik_checkpoints/cheetah/model_30_0.03330245401680148_0.018701719490285866.pth
Successfully loaded checkpoint /global/scratch/brianyao/DeepRL_Pretraining/pretraining/ik_checkpoints/cheetah/model_30_0.03330245401680148_0.018701719490285866.pth
Evaluating: /global/scratch/brianyao/DeepRL_Pretraining/pretraining/logs/cheetah/ik_seed37
| eval | S: 0 | ER: 0.4780
| train | E: 1 | S: 250 | D: 11.6 s | R: 0.0000 | BR: 0.0000 | ALOSS: 0.0000 | CLOSS: 0.0000 | RLOSS: 0.0000
| train | E: 2 | S: 500 | D: 0.3 s | R: 10.3953 | BR: 0.0000 | ALOSS: 0.0000 | CLOSS: 0.0000 | RLOSS: 0.0000
| train | E: 3 | S: 750 | D: 0.3 s | R: 13.9166 | BR: 0.0000 | ALOSS: 0.0000 | CLOSS: 0.0000 | RLOSS: 0.0000
| train | E: 4 | S: 1000 | D: 0.3 s | R: 7.2535 | BR: 0.0000 | ALOSS: 0.0000 | CLOSS: 0.0000 | RLOSS: 0.0000
| train | E: 5 | S: 1250 | D: 408.5 s | R: 17.5791 | BR: 0.0496 | ALOSS: -2.9745 | CLOSS: 0.0345 | RLOSS: 0.0000
| train | E: 6 | S: 1500 | D: 73.4 s | R: 14.4662 | BR: 0.0494 | ALOSS: -5.3014 | CLOSS: 0.0382 | RLOSS: 0.0000
| train | E: 7 | S: 1750 | D: 73.4 s | R: 9.0333 | BR: 0.0495 | ALOSS: -5.7336 | CLOSS: 0.0434 | RLOSS: 0.0000
| train | E: 8 | S: 2000 | D: 73.6 s | R: 23.0360 | BR: 0.0555 | ALOSS: -6.1933 | CLOSS: 0.0606 | RLOSS: 0.0000
| train | E: 9 | S: 2250 | D: 73.6 s | R: 16.5399 | BR: 0.0581 | ALOSS: -6.6359 | CLOSS: 0.0690 | RLOSS: 0.0000
| train | E: 10 | S: 2500 | D: 73.7 s | R: 19.0194 | BR: 0.0596 | ALOSS: -7.0437 | CLOSS: 0.0771 | RLOSS: 0.0000
| train | E: 11 | S: 2750 | D: 73.9 s | R: 17.3629 | BR: 0.0590 | ALOSS: -7.4255 | CLOSS: 0.0754 | RLOSS: 0.0000
| train | E: 12 | S: 3000 | D: 73.7 s | R: 10.6569 | BR: 0.0612 | ALOSS: -7.7966 | CLOSS: 0.0776 | RLOSS: 0.0000
| train | E: 13 | S: 3250 | D: 73.7 s | R: 25.7764 | BR: 0.0633 | ALOSS: -8.1740 | CLOSS: 0.0923 | RLOSS: 0.0000
| train | E: 14 | S: 3500 | D: 73.9 s | R: 17.5950 | BR: 0.0607 | ALOSS: -8.5390 | CLOSS: 0.1003 | RLOSS: 0.0000
| train | E: 15 | S: 3750 | D: 73.8 s | R: 17.3873 | BR: 0.0633 | ALOSS: -8.9214 | CLOSS: 0.1201 | RLOSS: 0.0000
| train | E: 16 | S: 4000 | D: 73.7 s | R: 28.0750 | BR: 0.0667 | ALOSS: -9.2967 | CLOSS: 0.1408 | RLOSS: 0.0000
| train | E: 17 | S: 4250 | D: 73.7 s | R: 19.4137 | BR: 0.0667 | ALOSS: -9.6562 | CLOSS: 0.1467 | RLOSS: 0.0000
| train | E: 18 | S: 4500 | D: 73.8 s | R: 19.2635 | BR: 0.0707 | ALOSS: -10.0020 | CLOSS: 0.1667 | RLOSS: 0.0000
| train | E: 19 | S: 4750 | D: 73.6 s | R: 46.2836 | BR: 0.0792 | ALOSS: -10.3718 | CLOSS: 0.1923 | RLOSS: 0.0000
| train | E: 20 | S: 5000 | D: 73.8 s | R: 60.8479 | BR: 0.0881 | ALOSS: -10.7984 | CLOSS: 0.2240 | RLOSS: 0.0000
| train | E: 21 | S: 5250 | D: 73.9 s | R: 62.8320 | BR: 0.0953 | ALOSS: -11.1923 | CLOSS: 0.2503 | RLOSS: 0.0000
| train | E: 22 | S: 5500 | D: 73.8 s | R: 62.6276 | BR: 0.1021 | ALOSS: -11.6146 | CLOSS: 0.3074 | RLOSS: 0.0000
| train | E: 23 | S: 5750 | D: 73.6 s | R: 65.9160 | BR: 0.1065 | ALOSS: -12.0229 | CLOSS: 0.3498 | RLOSS: 0.0000
| train | E: 24 | S: 6000 | D: 73.7 s | R: 24.1205 | BR: 0.1093 | ALOSS: -12.4083 | CLOSS: 0.3738 | RLOSS: 0.0000
| train | E: 25 | S: 6250 | D: 74.7 s | R: 65.8423 | BR: 0.1187 | ALOSS: -12.8581 | CLOSS: 0.4085 | RLOSS: 0.0000
| train | E: 26 | S: 6500 | D: 77.2 s | R: 105.2659 | BR: 0.1275 | ALOSS: -13.3347 | CLOSS: 0.4460 | RLOSS: 0.0000
| train | E: 27 | S: 6750 | D: 77.1 s | R: 80.3062 | BR: 0.1371 | ALOSS: -13.8206 | CLOSS: 0.5030 | RLOSS: 0.0000
| train | E: 28 | S: 7000 | D: 77.3 s | R: 102.5211 | BR: 0.1471 | ALOSS: -14.3441 | CLOSS: 0.5657 | RLOSS: 0.0000
| train | E: 29 | S: 7250 | D: 77.0 s | R: 93.9090 | BR: 0.1592 | ALOSS: -14.9713 | CLOSS: 0.6256 | RLOSS: 0.0000
| train | E: 30 | S: 7500 | D: 76.9 s | R: 124.9286 | BR: 0.1620 | ALOSS: -15.4474 | CLOSS: 0.6831 | RLOSS: 0.0000
| train | E: 31 | S: 7750 | D: 77.2 s | R: 23.7482 | BR: 0.1642 | ALOSS: -15.9400 | CLOSS: 0.6494 | RLOSS: 0.0000
| train | E: 32 | S: 8000 | D: 77.1 s | R: 114.2647 | BR: 0.1734 | ALOSS: -16.4740 | CLOSS: 0.6458 | RLOSS: 0.0000
| train | E: 33 | S: 8250 | D: 76.9 s | R: 120.7563 | BR: 0.1823 | ALOSS: -17.0320 | CLOSS: 0.6721 | RLOSS: 0.0000
| train | E: 34 | S: 8500 | D: 77.0 s | R: 108.9770 | BR: 0.1913 | ALOSS: -17.6756 | CLOSS: 0.6516 | RLOSS: 0.0000
| train | E: 35 | S: 8750 | D: 77.1 s | R: 123.2497 | BR: 0.2018 | ALOSS: -18.2205 | CLOSS: 0.6450 | RLOSS: 0.0000
| train | E: 36 | S: 9000 | D: 77.0 s | R: 118.9781 | BR: 0.2057 | ALOSS: -18.7771 | CLOSS: 0.6414 | RLOSS: 0.0000
| train | E: 37 | S: 9250 | D: 77.2 s | R: 105.7554 | BR: 0.2116 | ALOSS: -19.3024 | CLOSS: 0.5842 | RLOSS: 0.0000
| train | E: 38 | S: 9500 | D: 77.1 s | R: 51.8465 | BR: 0.2133 | ALOSS: -19.7348 | CLOSS: 0.5581 | RLOSS: 0.0000
| train | E: 39 | S: 9750 | D: 75.4 s | R: 119.3917 | BR: 0.2204 | ALOSS: -20.2759 | CLOSS: 0.5561 | RLOSS: 0.0000
| train | E: 40 | S: 10000 | D: 77.2 s | R: 124.3331 | BR: 0.2281 | ALOSS: -20.7785 | CLOSS: 0.5910 | RLOSS: 0.0000
Evaluating: /global/scratch/brianyao/DeepRL_Pretraining/pretraining/logs/cheetah/ik_seed37
| eval | S: 10000 | ER: 157.3299
| train | E: 41 | S: 10250 | D: 88.0 s | R: 131.7908 | BR: 0.2361 | ALOSS: -21.3283 | CLOSS: 0.5779 | RLOSS: 0.0000
| train | E: 42 | S: 10500 | D: 76.9 s | R: 135.3413 | BR: 0.2450 | ALOSS: -21.8732 | CLOSS: 0.5742 | RLOSS: 0.0000
| train | E: 43 | S: 10750 | D: 76.7 s | R: 144.6580 | BR: 0.2498 | ALOSS: -22.4191 | CLOSS: 0.5887 | RLOSS: 0.0000
| train | E: 44 | S: 11000 | D: 76.7 s | R: 115.1654 | BR: 0.2536 | ALOSS: -22.9540 | CLOSS: 0.5853 | RLOSS: 0.0000
| train | E: 45 | S: 11250 | D: 73.7 s | R: 117.5443 | BR: 0.2594 | ALOSS: -23.5289 | CLOSS: 0.5945 | RLOSS: 0.0000
| train | E: 46 | S: 11500 | D: 73.4 s | R: 116.4192 | BR: 0.2649 | ALOSS: -23.9946 | CLOSS: 0.5841 | RLOSS: 0.0000
| train | E: 47 | S: 11750 | D: 73.8 s | R: 115.9227 | BR: 0.2690 | ALOSS: -24.5967 | CLOSS: 0.6137 | RLOSS: 0.0000
| train | E: 48 | S: 12000 | D: 74.0 s | R: 129.6361 | BR: 0.2755 | ALOSS: -25.0896 | CLOSS: 0.5821 | RLOSS: 0.0000
| train | E: 49 | S: 12250 | D: 73.5 s | R: 131.8151 | BR: 0.2781 | ALOSS: -25.5825 | CLOSS: 0.6680 | RLOSS: 0.0000
| train | E: 50 | S: 12500 | D: 73.6 s | R: 119.6008 | BR: 0.2844 | ALOSS: -26.1103 | CLOSS: 0.6483 | RLOSS: 0.0000
| train | E: 51 | S: 12750 | D: 73.7 s | R: 124.6493 | BR: 0.2886 | ALOSS: -26.5472 | CLOSS: 0.7310 | RLOSS: 0.0000
| train | E: 52 | S: 13000 | D: 73.5 s | R: 146.6463 | BR: 0.2934 | ALOSS: -27.1057 | CLOSS: 0.6425 | RLOSS: 0.0000
| train | E: 53 | S: 13250 | D: 73.6 s | R: 140.4026 | BR: 0.3008 | ALOSS: -27.6376 | CLOSS: 0.6245 | RLOSS: 0.0000
| train | E: 54 | S: 13500 | D: 73.8 s | R: 144.9223 | BR: 0.3055 | ALOSS: -28.1565 | CLOSS: 0.6636 | RLOSS: 0.0000
| train | E: 55 | S: 13750 | D: 73.7 s | R: 154.2766 | BR: 0.3095 | ALOSS: -28.6237 | CLOSS: 0.6197 | RLOSS: 0.0000
| train | E: 56 | S: 14000 | D: 74.1 s | R: 165.0340 | BR: 0.3199 | ALOSS: -29.1288 | CLOSS: 0.6302 | RLOSS: 0.0000
| train | E: 57 | S: 14250 | D: 74.8 s | R: 179.7267 | BR: 0.3218 | ALOSS: -29.5608 | CLOSS: 0.6308 | RLOSS: 0.0000
| train | E: 58 | S: 14500 | D: 73.7 s | R: 24.0175 | BR: 0.3218 | ALOSS: -29.9342 | CLOSS: 0.6224 | RLOSS: 0.0000
| train | E: 59 | S: 14750 | D: 73.5 s | R: 176.3156 | BR: 0.3259 | ALOSS: -30.3124 | CLOSS: 0.7269 | RLOSS: 0.0000
| train | E: 60 | S: 15000 | D: 74.0 s | R: 109.2180 | BR: 0.3312 | ALOSS: -30.7214 | CLOSS: 0.9136 | RLOSS: 0.0000
| train | E: 61 | S: 15250 | D: 73.7 s | R: 134.9085 | BR: 0.3325 | ALOSS: -31.1988 | CLOSS: 0.8477 | RLOSS: 0.0000
| train | E: 62 | S: 15500 | D: 73.8 s | R: 176.9342 | BR: 0.3402 | ALOSS: -31.7129 | CLOSS: 0.8200 | RLOSS: 0.0000
| train | E: 63 | S: 15750 | D: 73.6 s | R: 162.3655 | BR: 0.3453 | ALOSS: -32.1544 | CLOSS: 0.8011 | RLOSS: 0.0000
| train | E: 64 | S: 16000 | D: 75.0 s | R: 137.5571 | BR: 0.3460 | ALOSS: -32.6500 | CLOSS: 1.0046 | RLOSS: 0.0000
| train | E: 65 | S: 16250 | D: 74.0 s | R: 168.3233 | BR: 0.3548 | ALOSS: -33.0767 | CLOSS: 1.0522 | RLOSS: 0.0000
| train | E: 66 | S: 16500 | D: 73.4 s | R: 194.8760 | BR: 0.3555 | ALOSS: -33.5227 | CLOSS: 0.9648 | RLOSS: 0.0000
| train | E: 67 | S: 16750 | D: 73.9 s | R: 40.5723 | BR: 0.3582 | ALOSS: -33.8985 | CLOSS: 0.9989 | RLOSS: 0.0000
| train | E: 68 | S: 17000 | D: 73.8 s | R: 208.2042 | BR: 0.3678 | ALOSS: -34.2190 | CLOSS: 0.8568 | RLOSS: 0.0000
| train | E: 69 | S: 17250 | D: 73.9 s | R: 191.5958 | BR: 0.3718 | ALOSS: -34.5773 | CLOSS: 0.9728 | RLOSS: 0.0000
| train | E: 70 | S: 17500 | D: 73.6 s | R: 187.1236 | BR: 0.3726 | ALOSS: -34.9233 | CLOSS: 0.9882 | RLOSS: 0.0000
| train | E: 71 | S: 17750 | D: 73.6 s | R: 146.7441 | BR: 0.3792 | ALOSS: -35.3893 | CLOSS: 1.3147 | RLOSS: 0.0000
| train | E: 72 | S: 18000 | D: 73.8 s | R: 189.5820 | BR: 0.3838 | ALOSS: -35.8885 | CLOSS: 1.1920 | RLOSS: 0.0000
